time,input,GL,EXP20
33.95,1,1.04952,1.00221
34,1,1.04979,1.00228
34.05,1,1.05002,1.00234
34.1,1,1.0502,1.0024
34.15,1,1.05033,1.00244
34.2,1,1.05043,1.00248
34.25,1,1.05049,1.00251
34.3,1,1.05051,1.00253
34.35,1,1.05049,1.00255
34.4,1,1.05044,1.00256
34.45,1,1.05036,1.00257
34.5,1,1.05025,1.00257
34.55,1,1.05011,1.00257
34.6,1,1.04995,1.00256
34.65,1,1.04976,1.00254
34.7,1,1.04954,1.00253
34.75,1,1.04931,1.00251
34.8,1,1.04905,1.00248
34.85,1,1.04878,1.00246
34.9,1,1.04848,1.00243
34.95,1,1.04817,1.00239
35,1,1.04785,1.00236
35.05,1,1.04751,1.00232
35.1,1,1.04715,1.00229
35.15,1,1.04679,1.00225
35.2,1,1.04641,1.00221
35.25,1,1.04603,1.00216
35.3,1,1.04564,1.00212
35.35,1,1.04524,1.00208
35.4,1,1.04483,1.00203
35.45,1,1.04441,1.00199
35.5,1,1.04399,1.00194
35.55,1,1.04357,1.0019
35.6,1,1.04314,1.00185
35.65,1,1.04271,1.00181
35.7,1,1.04228,1.00176
35.75,1,1.04185,1.00171
35.8,1,1.04141,1.00167
35.85,1,1.04097,1.00162
35.9,1,1.04054,1.00158
35.95,1,1.0401,1.00153
36,1,1.03967,1.00149
36.05,1,1.03923,1.00145
36.1,1,1.0388,1.00141
36.15,1,1.03837,1.00136
36.2,1,1.03794,1.00132
36.25,1,1.03752,1.00128
36.3,1,1.03709,1.00124
36.35,1,1.03668,1.0012
36.4,1,1.03626,1.00117
36.45,1,1.03585,1.00113
36.5,1,1.03544,1.00109
36.55,1,1.03503,1.00106
36.6,1,1.03463,1.00103
36.65,1,1.03424,1.00099
36.7,1,1.03385,1.00096
36.75,1,1.03346,1.00093
36.8,1,1.03308,1.0009
36.85,1,1.0327,1.00087
36.9,1,1.03233,1.00084
36.95,1,1.03196,1.00081
37,1,1.03159,1.00079
37.05,1,1.03124,1.00076
37.1,1,1.03088,1.00074
37.15,1,1.03053,1.00071
37.2,1,1.03019,1.00069
37.25,1,1.02985,1.00067
37.3,1,1.02952,1.00064
37.35,1,1.02919,1.00062
37.4,1,1.02886,1.0006
37.45,1,1.02854,1.00058
37.5,1,1.02823,1.00057
37.55,1,1.02791,1.00055
37.6,1,1.02761,1.00053
37.65,1,1.02731,1.00052
37.7,1,1.02701,1.0005
37.75,1,1.02672,1.00048
37.8,1,1.02643,1.00047
37.85,1,1.02614,1.00046
37.9,1,1.02586,1.00044
37.95,1,1.02559,1.00043
38,1,1.02531,1.00042
38.05,1,1.02504,1.00041
38.1,1,1.02478,1.0004
38.15,1,1.02452,1.00039
38.2,1,1.02426,1.00038
38.25,1,1.02401,1.00037
38.3,1,1.02376,1.00036
38.35,1,1.02351,1.00035
38.4,1,1.02326,1.00034
38.45,1,1.02302,1.00034
38.5,1,1.02278,1.00033
38.55,1,1.02255,1.00032
38.6,1,1.02232,1.00031
38.65,1,1.02209,1.00031
38.7,1,1.02186,1.0003
