inputFreq	CFEAmp	CFEPhase,fullAmp	fullPhase	expAmp	expPhase	recAmp	recPhase	shiftAvgAmp1	shiftAvgPhase1	shiftAvgAmp2	shiftAvgPhase2	shiftAvgAmp3	shiftAvgPhase3	shiftAvgAmp4	shiftAvgPhase4	shiftAvgAmp5	shiftAvgPhase5	shiftAvgAmp6	shiftAvgPhase6
79.2447	0.1578	44.9996	22.3103	44.2864	23.7706	40.3159	20.2417	43.4637	19.3969	42.9910	25.0614	44.1791	24.4909	42.1424	23.7576	41.6070	25.0614	44.1791	24.4909	42.1424
125.5943	0.1987	44.9997	28.0859	43.8692	27.8157	41.6171	26.8065	45.9765	26.4834	46.9756	31.5920	42.7539	30.4603	41.3472	29.4029	41.0280	31.5920	42.7539	30.4603	41.3472
199.0536	0.2502	44.9997	35.3519	43.2081	34.8016	43.2563	35.8901	44.9719	36.0292	45.4254	39.5137	40.8164	37.7652	40.3190	36.3174	40.3899	39.5137	40.8164	37.7652	40.3190
315.4787	0.3153	44.9997	44.4842	42.1603	44.6018	42.4466	45.0620	41.4930	45.2023	41.1947	48.8267	38.3386	46.6413	38.9830	44.8276	39.6458	48.8267	38.3386	46.6413	38.9830
500.0000	0.3980	44.9997	55.9335	40.4996	55.8944	40.3949	55.5132	40.7956	55.4058	40.9507	59.3040	35.4514	57.3468	37.2358	55.4333	38.6431	59.3040	35.4514	57.3468	37.2358
792.4466	0.5042	44.9996	70.1973	37.8675	70.2410	37.8558	69.9875	37.6367	69.9195	37.5840	70.6960	32.6328	70.1891	34.9228	68.9092	36.9937	70.6960	32.6328	70.1891	34.9228
1255.9432	0.6453	44.9996	87.6812	33.6961	87.6859	33.6838	87.4609	33.7073	87.4009	33.7372	84.0476	30.3257	85.6419	31.7563	86.2750	33.8562	84.0476	30.3257	85.6419	31.7563
1990.5359	0.8497	44.9995	108.2008	27.0848	108.2089	27.0837	108.0925	27.0266	108.0515	27.0230	102.7006	27.0811	104.8420	26.9653	108.0419	27.7116	102.7006	27.0811	104.8420	26.9653
3154.7867	1.2359	44.9993	129.3544	16.6066	129.3581	16.6075	129.3053	16.5571	129.2850	16.5566	128.0544	18.6049	128.3591	17.8739	130.3225	16.5187	128.0544	18.6049	128.3591	17.8739
5000.0000	11.9954	-0.0000	21.6811	-0.0000	21.6807	-0.0000	21.6982	-0.0000	21.6982	-0.0000	22.3305	-0.0000	22.1103	-0.0000	21.5454	-0.0000	22.3305	-0.0000	22.1103	-0.0000
