time	input	amplitude
760	0	0.0849713
761	0	0.0811858
762	0	0.0778304
763	0	0.0748236
764	0	0.0721055
765	0	0.0696304
766	0	0.0673626
767	0	0.0652737
768	0	0.0633405
769	0	0.061544
770	0	0.0598686
771	0	0.058301
772	0	0.0568298
773	0	0.0554456
774	0	0.05414
775	0	0.0529058
776	0	0.0517369
777	0	0.0506275
778	0	0.049573
779	0	0.048569
780	0	0.0476115
781	0	0.0466973
782	0	0.0458231
783	0	0.0449863
784	0	0.0441842
785	0	0.0434146
786	0	0.0426754
787	0	0.0419647
788	0	0.0412807
789	0	0.0406219
790	0	0.0399869
791	0	0.0393742
792	0	0.0387826
793	0	0.038211
794	0	0.0376583
795	0	0.0371236
796	0	0.0366058
797	0	0.0361043
798	0	0.0356181
799	0	0.0351466
800	0	0.034689
801	0	0.0342447
802	0	0.0338131
803	0	0.0333937
804	0	0.0329858
805	0	0.032589
806	0	0.0322029
807	0	0.031827
808	0	0.0314608
809	0	0.031104
810	0	0.0307562
811	0	0.030417
812	0	0.0300861
813	0	0.0297633
814	0	0.0294481
815	0	0.0291403
816	0	0.0288397
817	1	0.845802
818	1	0.862212
819	1	0.871886
820	1	0.879377
821	1	0.885434
822	1	0.890504
823	1	0.894859
824	1	0.898668
825	1	0.902047
826	1	0.905077
827	1	0.907818
828	1	0.910316
829	1	0.912606
830	1	0.914718
831	1	0.916674
832	1	0.918492
833	1	0.92019
834	1	0.921779
835	1	0.923272
836	1	0.924678
837	1	0.926006
838	1	0.927261
839	1	0.928451
840	1	0.929582
841	1	0.930658
842	1	0.931683
843	1	0.932661
844	1	0.933596
845	1	0.934491
846	1	0.935348
847	1	0.936171
848	1	0.936961
849	1	0.937721
850	1	0.938452
851	1	0.939156
852	1	0.939834
853	1	0.94049
854	1	0.941122
855	1	0.941734
856	1	0.942325
857	1	0.942897
858	1	0.943452
859	1	0.943989
860	1	0.94451
861	1	0.945016
862	1	0.945507
863	1	0.945984
864	1	0.946447
865	1	0.946898
866	1	0.947337
867	1	0.947764
868	1	0.948179
869	1	0.948585
870	1	0.948979
871	1	0.949365
872	1	0.94974
873	1	0.950107
874	1	0.950465
875	1	0.950814
876	1	0.951156
877	1	0.95149
878	1	0.951816
879	1	0.952135
880	0	0.135191
881	0	0.118799
882	0	0.109145
883	0	0.101671
884	0	0.0956333
885	0	0.0905809
886	0	0.0862449
887	0	0.082454
888	0	0.0790933
889	0	0.0760813
890	0	0.0733582
891	0	0.0708783
892	0	0.0686058
893	0	0.0665123
894	0	0.0645746
895	0	0.0627739
896	0	0.0610943
897	0	0.0595225
898	0	0.0580474
899	0	0.0566593
900	0	0.0553499
901	0	0.054112
902	0	0.0529394
903	0	0.0518266
904	0	0.0507686
905	0	0.0497612
906	0	0.0488005
907	0	0.0478831
908	0	0.0470058
909	0	0.0461659
910	0	0.0453608
911	0	0.0445882
912	0	0.0438461
913	0	0.0431326
914	0	0.0424459
915	0	0.0417844
916	0	0.0411467
917	0	0.0405314
918	0	0.0399373
919	0	0.0393631
920	0	0.038808
921	0	0.0382708
922	0	0.0377507
923	0	0.0372469
924	0	0.0367584
925	0	0.0362846
926	0	0.0358248
927	0	0.0353783
928	0	0.0349446
929	0	0.034523
930	0	0.0341131
931	0	0.0337143
932	0	0.0333262
933	0	0.0329482
934	0	0.0325801
935	0	0.0322213
936	0	0.0318716
937	0	0.0315306
938	0	0.0311979
939	0	0.0308732
940	0	0.0305562
941	0	0.0302466
942	0	0.0299442
943	1	0.846905
944	1	0.863314
945	1	0.872985
946	1	0.880475
947	1	0.88653
948	1	0.891599
949	1	0.895951
950	1	0.899759
951	1	0.903136
952	1	0.906165
953	1	0.908904
954	1	0.911401
955	1	0.91369
956	1	0.9158
957	1	0.917754
958	1	0.919571
959	1	0.921267
960	1	0.922856
961	1	0.924347
962	1	0.925752
963	1	0.927077
964	1	0.928332
965	1	0.929521
966	1	0.93065
967	1	0.931724
968	1	0.932748
969	1	0.933725
970	1	0.934658
971	1	0.935552
972	1	0.936408
973	1	0.937229
974	1	0.938018
975	1	0.938776
976	1	0.939506
977	1	0.940209
978	1	0.940887
979	1	0.94154
980	1	0.942172
981	1	0.942782
982	1	0.943372
983	1	0.943943
984	1	0.944497
985	1	0.945033
986	1	0.945552
987	1	0.946057
988	1	0.946547
989	1	0.947022
990	1	0.947485
991	1	0.947934
992	1	0.948372
993	1	0.948798
994	1	0.949212
995	1	0.949616
996	1	0.95001
997	1	0.950394
998	1	0.950769
999	1	0.951134
