time,f(t),IIR_CFE,Grunwald,exponential,recursive,shiftAvg1,shiftAvg9,shiftAvg5,shiftAvg3,shiftAvg8
0.7800,-0.1276,1.6439,1.6241,1.3994,1.6689,1.6899,1.6935,1.7587,1.6071,1.6401
0.7900,-0.0490,1.8650,1.7976,1.5774,1.8333,1.8454,1.8817,1.9568,1.8026,1.8295
0.8000,0.0299,1.9741,1.9596,1.7445,1.9773,1.9894,2.0578,2.1422,1.9862,2.0070
0.8100,0.1086,2.1701,2.1091,1.8997,2.1180,2.1210,2.2206,2.3138,2.1569,2.1714
0.8200,0.1866,2.2534,2.2452,2.0421,2.2364,2.2395,2.3692,2.4712,2.3135,2.3218
0.8300,0.2635,2.4206,2.3670,2.1707,2.3501,2.3440,2.5026,2.6128,2.4550,2.4572
0.8400,0.3387,2.4748,2.4738,2.2848,2.4400,2.4339,2.6199,2.7376,2.5807,2.5767
0.8500,0.4118,2.6104,2.5649,2.3837,2.5235,2.5086,2.7205,2.8448,2.6897,2.6797
0.8600,0.4824,2.6329,2.6398,2.4668,2.5826,2.5678,2.8038,2.9340,2.7814,2.7655
0.8700,0.5499,2.7348,2.6979,2.5335,2.6345,2.6109,2.8692,3.0044,2.8552,2.8336
0.8800,0.6140,2.7239,2.7390,2.5835,2.6614,2.6379,2.9164,3.0556,2.9107,2.8845
0.8900,0.6744,2.7907,2.7627,2.6165,2.6794,2.6483,2.9450,3.0874,2.9475,2.9171
0.9000,0.7305,2.7455,2.7690,2.6322,2.6734,2.6424,2.9549,3.0995,2.9654,2.9309
0.9100,0.7820,2.7767,2.7578,2.6306,2.6582,2.6199,2.9461,3.0920,2.9643,2.9260
0.9200,0.8287,2.6972,2.7292,2.6117,2.6195,2.5812,2.9189,3.0648,2.9443,2.9024
0.9300,0.8703,2.6934,2.6833,2.5757,2.5702,2.5264,2.8732,3.0180,2.9054,2.8602
0.9400,0.9064,2.5803,2.6205,2.5227,2.4997,2.4559,2.8093,2.9522,2.8479,2.7998
0.9500,0.9369,2.5426,2.5411,2.4530,2.4191,2.3700,2.7275,2.8675,2.7722,2.7215
0.9600,0.9615,2.3976,2.4457,2.3673,2.3185,2.2695,2.6284,2.7646,2.6788,2.6257
0.9700,0.9802,2.3283,2.3348,2.2659,2.2069,2.1548,2.5126,2.6441,2.5682,2.5132
0.9800,0.9928,2.1539,2.2091,2.1495,2.0788,2.0267,2.3808,2.5068,2.4411,2.3846
0.9900,0.9991,2.0557,2.0695,2.0189,1.9406,1.8860,2.2338,2.3535,2.2984,2.2407
1.0000,0.9993,1.8551,1.9168,1.8748,1.7882,1.7335,2.0727,2.1852,2.1409,2.0825
1.0100,0.9932,1.7317,1.7519,1.7182,1.6253,1.5703,1.8983,2.0033,1.9696,1.9109
1.0200,0.9810,1.5088,1.5758,1.5501,1.4523,1.3972,1.7117,1.8086,1.7856,1.7269
1.0300,0.9627,1.3644,1.3898,1.3715,1.2702,1.2155,1.5142,1.6023,1.5901,1.5318
1.0400,0.9383,1.1236,1.1949,1.1836,1.0809,1.0262,1.3070,1.3857,1.3842,1.3268
1.0500,0.9082,0.9628,0.9923,0.9875,0.8828,0.8306,1.0913,1.1601,1.1693,1.1131
1.0600,0.8723,0.7090,0.7834,0.7844,0.6820,0.6297,0.8688,0.9270,0.9467,0.8921
1.0700,0.8311,0.5370,0.5694,0.5756,0.4741,0.4250,0.6407,0.6877,0.7178,0.6652
1.0800,0.7847,0.2755,0.3516,0.3625,0.2667,0.2176,0.4082,0.4439,0.4840,0.4338
1.0900,0.7333,0.0976,0.1315,0.1463,0.0530,0.0088,0.1729,0.1969,0.2467,0.1993
1.1000,0.6775,-0.1662,-0.0897,-0.0716,-0.1559,-0.2000,-0.0638,-0.0515,0.0076,-0.0368
1.1100,0.6174,-0.3444,-0.3105,-0.2898,-0.3691,-0.4076,-0.3003,-0.3000,-0.2320,-0.2730
1.1200,0.5534,-0.6051,-0.5296,-0.5069,-0.5742,-0.6126,-0.5353,-0.5469,-0.4706,-0.5079
1.1300,0.4861,-0.7781,-0.7455,-0.7217,-0.7823,-0.8138,-0.7672,-0.7907,-0.7066,-0.7400
1.1400,0.4157,-1.0303,-0.9570,-0.9327,-0.9785,-1.0100,-0.9945,-1.0299,-0.9386,-0.9678
1.1500,0.3427,-1.1927,-1.1627,-1.1386,-1.1760,-1.1998,-1.2160,-1.2629,-1.1652,-1.1899
1.1600,0.2675,-1.4310,-1.3614,-1.3382,-1.3584,-1.3822,-1.4301,-1.4884,-1.3849,-1.4049
1.1700,0.1908,-1.5779,-1.5518,-1.5302,-1.5405,-1.5560,-1.6356,-1.7049,-1.5963,-1.6116
1.1800,0.1128,-1.7974,-1.7327,-1.7133,-1.7046,-1.7201,-1.8312,-1.9111,-1.7982,-1.8085
1.1900,0.0341,-1.9240,-1.9030,-1.8865,-1.8669,-1.8735,-2.0157,-2.1056,-1.9892,-1.9945
1.2000,-0.0448,-2.1204,-2.0616,-2.0487,-2.0087,-2.0153,-2.1878,-2.2873,-2.1682,-2.1683
1.2100,-0.1234,-2.2224,-2.2075,-2.1988,-2.1466,-2.1445,-2.3464,-2.4551,-2.3341,-2.3290
1.2200,-0.2013,-2.3918,-2.3399,-2.3360,-2.2625,-2.2603,-2.4906,-2.6076,-2.4858,-2.4755
1.2300,-0.2778,-2.4658,-2.4579,-2.4592,-2.3735,-2.3621,-2.6195,-2.7442,-2.6224,-2.6070
1.2400,-0.3527,-2.6049,-2.5607,-2.5678,-2.4606,-2.4492,-2.7324,-2.8639,-2.7431,-2.7224
1.2500,-0.4254,-2.6480,-2.6478,-2.6612,-2.5408,-2.5210,-2.8285,-2.9661,-2.8470,-2.8213
