0.5436	0.211	2	0.0002
3.1152	0.2	0.141511	0.0584891	0.350022
3.1154	0.2	0.141573	0.0584271	0.350596
3.1156	0.2	0.141635	0.0583653	0.351169
3.1158	0.2	0.141696	0.0583037	0.351741
3.116	0.2	0.141758	0.0582422	0.352313
3.1162	0.2	0.141819	0.0581809	0.352884
3.1164	0.2	0.14188	0.0581198	0.353455
3.1166	0.2	0.141941	0.0580588	0.354025
3.1168	0.2	0.142002	0.057998	0.354594
3.117	0.2	0.142063	0.0579373	0.355163
3.1172	0.2	0.142123	0.0578768	0.355731
3.1174	0.2	0.142184	0.0578165	0.356299
3.1176	0.2	0.142244	0.0577563	0.356866
3.1178	0.2	0.142304	0.0576962	0.357433
3.118	0.2	0.142364	0.0576363	0.357999
3.1182	0.2	0.142423	0.0575766	0.358564
3.1184	0.2	0.142483	0.057517	0.359129
3.1186	0.2	0.142542	0.0574576	0.359693
3.1188	0.2	0.142602	0.0573983	0.360257
3.119	0.2	0.142661	0.0573392	0.36082
3.1192	0.2	0.14272	0.0572802	0.361383
3.1194	0.2	0.142779	0.0572214	0.361945
3.1196	0.2	0.142837	0.0571627	0.362507
3.1198	0.2	0.142896	0.0571042	0.363067
3.12	0.2	0.142954	0.0570458	0.363628
3.1202	0.2	0.143012	0.0569875	0.364188
3.1204	0.2	0.143071	0.0569295	0.364747
3.1206	0.2	0.143128	0.0568715	0.365306
3.1208	0.2	0.143186	0.0568137	0.365864
3.121	0.2	0.143244	0.0567561	0.366421
3.1212	0.2	0.143301	0.0566986	0.366979
3.1214	0.2	0.143359	0.0566412	0.367535
3.1216	0.2	0.143416	0.056584	0.368091
3.1218	0.2	0.143473	0.0565269	0.368647
3.122	0.2	0.14353	0.05647	0.369201
3.1222	0.2	0.143587	0.0564132	0.369756
3.1224	0.2	0.143643	0.0563566	0.37031
3.1226	0.2	0.1437	0.0563001	0.370863
3.1228	0.2	0.143756	0.0562437	0.371416
3.123	0.2	0.143813	0.0561875	0.371968
3.1232	0.2	0.143869	0.0561314	0.37252
3.1234	0.2	0.143925	0.0560755	0.373071
3.1236	0.2	0.14398	0.0560197	0.373621
3.1238	0.2	0.144036	0.055964	0.374172
3.124	0.2	0.144092	0.0559085	0.374721
3.1242	0.2	0.144147	0.0558531	0.37527
3.1244	0.2	0.144202	0.0557978	0.375819
3.1246	0.2	0.144257	0.0557427	0.376367
3.1248	0.2	0.144312	0.0556877	0.376914
3.125	0.2	0.144367	0.0556328	0.377461
3.1252	0.2	0.144422	0.0555781	0.378008
3.1254	0.2	0.144476	0.0555235	0.378554
3.1256	0.2	0.144531	0.0554691	0.379099
3.1258	0.2	0.144585	0.0554148	0.379644
3.126	0.2	0.144639	0.0553606	0.380188
3.1262	0.2	0.144693	0.0553065	0.380732
3.1264	0.2	0.144747	0.0552526	0.381276
3.1266	0.2	0.144801	0.0551988	0.381819
3.1268	0.2	0.144855	0.0551451	0.382361
3.127	0.2	0.144908	0.0550916	0.382903
3.1272	0.2	0.144962	0.0550382	0.383444
3.1274	0.2	0.145015	0.0549849	0.383985
3.1276	0.2	0.145068	0.0549318	0.384525
3.1278	0.2	0.145121	0.0548787	0.385065
3.128	0.2	0.145174	0.0548259	0.385604
3.1282	0.2	0.145227	0.0547731	0.386143
3.1284	0.2	0.14528	0.0547204	0.386682
3.1286	0.2	0.145332	0.0546679	0.38722
3.1288	0.2	0.145384	0.0546155	0.387757
3.129	0.2	0.145437	0.0545633	0.388294
3.1292	0.2	0.145489	0.0545111	0.38883
3.1294	0.2	0.145541	0.0544591	0.389366
3.1296	0.2	0.145593	0.0544072	0.389901
3.1298	0.2	0.145645	0.0543555	0.390436
3.13	0.2	0.145696	0.0543038	0.390971
3.1302	0.2	0.145748	0.0542523	0.391505
3.1304	0.2	0.145799	0.0542009	0.392038
3.1306	0.2	0.14585	0.0541496	0.392571
3.1308	0.2	0.145902	0.0540984	0.393104
3.131	0.2	0.145953	0.0540474	0.393636
3.1312	0.2	0.146004	0.0539965	0.394167
3.1314	0.2	0.146054	0.0539457	0.394698
3.1316	0.2	0.146105	0.053895	0.395229
3.1318	0.2	0.146156	0.0538444	0.395759
3.132	0.2	0.146206	0.053794	0.396288
3.1322	0.2	0.146256	0.0537436	0.396818
3.1324	0.2	0.146307	0.0536934	0.397346
3.1326	0.2	0.146357	0.0536433	0.397874
3.1328	0.2	0.146407	0.0535933	0.398402
3.133	0.2	0.146457	0.0535435	0.398929
3.1332	0.2	0.146506	0.0534937	0.399456
3.1334	0.2	0.146556	0.0534441	0.399983
3.1336	0.2	0.146605	0.0533946	0.400508
3.1338	0.2	0.146655	0.0533452	0.401034
