Time,R,U,Theta,Phi,ThetaDot,PhiDot,Total Angle,Error,Digital Control
0.053,0.2,0.522458,0.0277652,-0.0258589,0.643458,-0.507144,0.00190628,0.198162,0.508243
0.0535,0.2,0.522373,0.0280861,-0.0261098,0.641472,-0.501793,0.00197632,0.198094,0.508243
0.054,0.2,0.522282,0.028406,-0.0263579,0.63944,-0.496359,0.00204805,0.198024,0.507717
0.0545,0.2,0.522187,0.0287249,-0.0266034,0.637366,-0.490846,0.0021215,0.197952,0.507717
0.055,0.2,0.522086,0.0290427,-0.026846,0.63525,-0.485255,0.00219668,0.197879,0.507717
0.0555,0.2,0.521981,0.0293594,-0.0270858,0.633094,-0.47959,0.00227362,0.197803,0.507152
0.056,0.2,0.52187,0.0296751,-0.0273227,0.630901,-0.47385,0.00235234,0.197726,0.507152
0.0565,0.2,0.521754,0.0299896,-0.0275567,0.628671,-0.46804,0.00243284,0.197648,0.507152
0.057,0.2,0.521633,0.030303,-0.0277878,0.626407,-0.462161,0.00251515,0.197567,0.506547
0.0575,0.2,0.521507,0.0306152,-0.0280159,0.62411,-0.456215,0.00259928,0.197485,0.506547
0.058,0.2,0.521376,0.0309263,-0.028241,0.621782,-0.450205,0.00268526,0.197401,0.506547
0.0585,0.2,0.521239,0.0312362,-0.0284631,0.619425,-0.444131,0.00277309,0.197315,0.5059
0.059,0.2,0.521097,0.0315449,-0.0286821,0.617039,-0.437997,0.00286279,0.197227,0.5059
0.0595,0.2,0.52095,0.0318524,-0.028898,0.614627,-0.431803,0.00295439,0.197137,0.5059
0.06,0.2,0.520798,0.0321586,-0.0291108,0.612191,-0.425553,0.00304789,0.197046,0.50521
0.0605,0.2,0.52064,0.0324637,-0.0293204,0.609731,-0.419249,0.00314331,0.196952,0.50521
0.061,0.2,0.520476,0.0327675,-0.0295268,0.607249,-0.412891,0.00324067,0.196857,0.50521
0.0615,0.2,0.520307,0.03307,-0.0297301,0.604746,-0.406481,0.00333998,0.196759,0.504476
0.062,0.2,0.520133,0.0333713,-0.0299301,0.602225,-0.400023,0.00344126,0.19666,0.504476
0.0625,0.2,0.519953,0.0336714,-0.0301268,0.599685,-0.393517,0.00354453,0.196559,0.504476
0.063,0.2,0.519767,0.0339701,-0.0303203,0.59713,-0.386966,0.00364979,0.196455,0.503697
0.0635,0.2,0.519576,0.0342676,-0.0305105,0.594559,-0.380371,0.00375706,0.19635,0.503697
0.064,0.2,0.519379,0.0345637,-0.0306974,0.591975,-0.373734,0.00386636,0.196243,0.503697
0.0645,0.2,0.519176,0.0348586,-0.0308809,0.589378,-0.367056,0.00397769,0.196134,0.502873
0.065,0.2,0.518968,0.0351521,-0.0310611,0.586771,-0.36034,0.00409108,0.196022,0.502873
0.0655,0.2,0.518754,0.0354444,-0.0312379,0.584153,-0.353587,0.00420654,0.195909,0.502873
0.066,0.2,0.518534,0.0357353,-0.0314113,0.581526,-0.346799,0.00432408,0.195793,0.502001
0.0665,0.2,0.518309,0.0360249,-0.0315812,0.578892,-0.339977,0.00444371,0.195676,0.502001
0.067,0.2,0.518077,0.0363132,-0.0317478,0.576252,-0.333124,0.00456544,0.195556,0.502001
0.0675,0.2,0.51784,0.0366002,-0.0319109,0.573606,-0.32624,0.0046893,0.195435,0.501081
0.068,0.2,0.517597,0.0368859,-0.0320706,0.570956,-0.319327,0.00481528,0.195311,0.501081
0.0685,0.2,0.517348,0.0371702,-0.0322268,0.568303,-0.312388,0.00494341,0.195185,0.501081
0.069,0.2,0.517092,0.0374532,-0.0323795,0.565649,-0.305423,0.00507369,0.195057,0.500112
0.0695,0.2,0.516831,0.0377348,-0.0325287,0.562993,-0.298434,0.00520614,0.194926,0.500112
0.07,0.2,0.516564,0.0380152,-0.0326744,0.560337,-0.291422,0.00534076,0.194794,0.500112
0.0705,0.2,0.516291,0.0382942,-0.0328166,0.557682,-0.28439,0.00547757,0.194659,0.499093
