time,input,GL,EXP20
21.95,0,0.050936,0.0608719
22,0,0.0500229,0.0595072
22.05,0,0.0491594,0.0582108
22.1,0,0.0483417,0.0569771
22.15,0,0.0475663,0.0558011
22.2,0,0.0468302,0.0546785
22.25,0,0.0461307,0.0536053
22.3,0,0.0454653,0.052578
22.35,0,0.0448318,0.0515934
22.4,0,0.0442282,0.0506486
22.45,0,0.0436525,0.0497411
22.5,0,0.0431033,0.0488685
22.55,0,0.0425788,0.0480287
22.6,0,0.0420778,0.0472196
22.65,0,0.0415988,0.0464395
22.7,0,0.0411408,0.0456868
22.75,0,0.0407027,0.0449599
22.8,0,0.0402833,0.0442574
22.85,0,0.0398819,0.043578
22.9,0,0.0394974,0.0429205
22.95,0,0.0391292,0.0422839
23,0,0.0387764,0.041667
23.05,0,0.0384384,0.0410689
23.1,0,0.0381145,0.0404888
23.15,0,0.0378042,0.0399258
23.2,0,0.0375067,0.0393791
23.25,0,0.0372217,0.0388479
23.3,0,0.0369486,0.0383317
23.35,0,0.0366869,0.0378296
23.4,0,0.0364362,0.0373413
23.45,0,0.0361961,0.036866
23.5,0,0.0359662,0.0364032
23.55,0,0.035746,0.0359525
23.6,0,0.0355354,0.0355133
23.65,0,0.0353339,0.0350853
23.7,0,0.0351412,0.0346679
23.75,0,0.034957,0.0342608
23.8,0,0.034781,0.0338635
23.85,0,0.034613,0.0334758
23.9,0,0.0344527,0.0330973
23.95,0,0.0342998,0.0327276
24,0,0.0341542,0.0323665
24.05,0,0.0340156,0.0320136
24.1,0,0.0338837,0.0316687
24.15,0,0.0337585,0.0313315
24.2,0,0.0336396,0.0310018
24.25,0,0.033527,0.0306792
24.3,0,0.0334204,0.0303636
24.35,0,0.0333196,0.0300547
24.4,0,0.0332245,0.0297523
24.45,0,0.033135,0.0294563
24.5,0,0.0330508,0.0291664
24.55,0,0.0329719,0.0288824
24.6,0,0.0328981,0.0286042
24.65,0,0.0328293,0.0283316
24.7,0,0.0327653,0.0280644
24.75,0,0.032706,0.0278025
24.8,0,0.0326514,0.0275457
24.85,0,0.0326012,0.0272938
24.9,0,0.0325554,0.0270468
24.95,0,0.0325138,0.0268045
25,0,0.0324765,0.0265667
25.05,0,0.0324431,0.0263334
25.1,0,0.0324138,0.0261044
25.15,0,0.0323883,0.0258796
25.2,0,0.0323667,0.0256588
25.25,0,0.0323487,0.0254421
25.3,0,0.0323343,0.0252292
25.35,0,0.0323235,0.0250201
25.4,0,0.0323162,0.0248147
25.45,0,0.0323122,0.0246129
25.5,0,0.0323115,0.0244146
25.55,0,0.032314,0.0242197
25.6,0,0.0318053,0.0239915
25.65,0,0.0313448,0.0237698
25.7,0,0.0309165,0.0235533
25.75,0,0.0305131,0.0233413
25.8,0,0.0301298,0.0231336
25.85,0,0.0297636,0.0229299
25.9,0,0.0294124,0.0227299
25.95,0,0.0290745,0.0225335
26,0,0.0287484,0.0223406
26.05,0,0.0284333,0.0221509
26.1,0,0.0281281,0.0219645
26.15,0,0.0278322,0.0217811
26.2,0,0.0275449,0.0216007
26.25,0,0.0272656,0.0214233
26.3,0,0.0269938,0.0212486
26.35,0,0.0267291,0.0210766
26.4,0,0.0264712,0.0209074
26.45,0,0.0262197,0.0207407
26.5,0,0.0259742,0.0205765
26.55,0,0.0257345,0.0204148
26.6,0,0.0255004,0.0202554
26.65,0,0.0252716,0.0200984
26.7,0,0.0250479,0.0199437
26.75,0,0.0248291,0.0197913
26.8,0,0.0246149,0.019641
26.85,0,0.0244053,0.0194928
26.9,0,0.0242001,0.0193467
26.95,0,0.0239991,0.0192026
27,0,0.0238022,0.0190606
27.05,0,0.0236092,0.0189205
27.1,0,0.0234201,0.0187823
27.15,0,0.0232347,0.0186459
27.2,0,0.0230529,0.0185114
27.25,0,0.0228746,0.0183787
27.3,0,0.0226997,0.0182477
27.35,0,0.0225281,0.0181185
27.4,0,0.0223597,0.0179909
27.45,0,0.0221944,0.017865
